"","GENDER","EDU_FATHER","EDU_MOTHER","OCC_FATHER","OCC_MOTHER","STRATUM","PEOPLE_HOUSE","COMPUTER","CAR","MOBILE","UNIVERSITY","OVERALL_SCORE"
"1",0,"Incomplete Professional Education","Complete Technical Education","Technical or professional level employee","Home","4","3",1,0,1,"4",407
"2",0,"Complete Secondary Education","Complete Professional Education","Entrepreneur ","Independent professional","5","3",1,1,1,"5",397
"3",1,"Unknown","Unknown","Independent","Home","2","5",1,0,0,"3",101
"4",0,"Unknown","Unknown","Other occupation","Independent","2","3",1,0,1,"2",304
"5",1,"Complete Professional Education","Complete Professional Education","Executive","Home","4","1",1,1,1,"4",457
"6",0,"Complete Professional Education","Complete Professional Education","Independent","Executive","6","3",1,1,1,"2",266
"7",1,"Complete Professional Education","Complete Professional Education","Small entrepreneur ","Executive","5","4",1,1,1,"4",271
"8",0,"Incomplete Secondary Education","Complete Secondary Education","Entrepreneur ","Independent professional","6","5",1,1,0,"5",472
"9",1,"Complete Secondary Education","Complete Professional Education","Independent","Operator","2","3",1,0,1,"2",173
"10",1,"Incomplete Technical Education","Incomplete Technical Education","Independent","Home","2","4",1,1,1,"3",160
"11",0,"Unknown","Unknown","Other occupation","Independent professional","3","5",1,1,1,"4",470
"12",1,"Complete Technical Education","Complete Secondary Education","Technical or professional level employee","Entrepreneur ","2","4",1,1,1,"3",177
"13",0,"Unknown","Incomplete Technical Education","Small entrepreneur ","Home","3","5",1,0,0,"3",253
"14",1,"Complete Professional Education","Complete Professional Education","Entrepreneur ","Small entrepreneur ","6","6",1,1,1,"4",441
"15",0,"Incomplete Primary Education","Incomplete Primary Education","Small entrepreneur ","Executive","1","2",0,0,0,"3",300
"16",0,"Complete Technical Education","Unknown","Technical or professional level employee","Technical or professional level employee","3","2",1,0,1,"1",334
"17",1,"Complete Professional Education","Complete Professional Education","Small entrepreneur ","Executive","3","4",1,1,1,"2",321
"18",1,"Complete Professional Education","Complete Professional Education","Independent professional","Independent professional","3","4",1,1,1,"2",430
"19",1,"Complete Technical Education","Complete Secondary Education","Operator","Independent","2","4",1,0,0,"2",156
"20",1,"Complete Professional Education","Complete Professional Education","Technical or professional level employee","Technical or professional level employee","3","3",1,0,0,"3",366
"21",1,"Complete Professional Education","Complete Professional Education","Independent professional","Executive","3","3",1,1,1,"2",344
"22",1,"Incomplete Primary Education","Incomplete Secondary Education","Independent","Home","2","4",1,0,1,"3",232
"23",1,"Complete Primary Education","Incomplete Primary Education","Independent","Home","4","4",1,1,1,"2",200
"24",1,"Incomplete Primary Education","Incomplete Primary Education","0","0","2","5",0,0,1,"5",329
"25",1,"Complete Professional Education","Incomplete Professional Education","Executive","Operator","3","4",1,0,1,"4",454
"26",1,"Complete Technical Education","Complete Technical Education","Executive","Home","3","3",1,1,1,"5",471
"27",1,"Complete Professional Education","Complete Technical Education","Technical or professional level employee","Technical or professional level employee","3","4",1,1,1,"4",290
